teamId,name,leagueId,sportId,leagueTypeId,players,region,d1Start,d1End,d2Start,d2End,d3Start,d3End,d4Start,d4End,d5Start,d5End,d6Start,d6End,d7Start,d7End
1,Raystad Commandos,1,4,1,18,West,4.5,12.5,14.0,20.5,7.0,18.5,10.5,18.0,16.0,18.0,7.5,17.0,14.0,19.0
2,Ramirezmouth Dolphins,1,4,1,18,West,11.0,20.5,15.0,21.0,1.0,1.5,10.5,19.5,3.5,16.0,3.5,20.5,2.5,10.5
3,Shawnport Bucaneers,1,4,1,18,West,13.0,18.5,4.5,17.5,10.0,11.5,13.0,19.0,8.0,20.5,0.0,16.0,7.5,23.5
4,North Charles Sabres,1,4,1,18,West,17.5,19.0,2.5,4.0,1.5,19.0,11.5,18.5,7.0,13.0,5.0,7.0,2.0,17.0
5,Ramirezland Pirates,1,4,1,18,West,8.0,15.0,5.5,23.0,3.0,23.5,2.0,22.0,9.5,21.0,9.0,19.5,4.5,19.5
6,Smithbury Chiefs,1,4,1,18,West,10.0,14.0,13.5,22.5,16.5,19.5,4.5,9.0,14.5,18.0,7.5,11.0,13.5,17.0
7,North Justinmouth Hornets,1,4,1,18,West,4.0,20.0,1.0,4.0,9.5,11.0,1.5,21.0,9.0,19.0,3.0,12.0,19.5,22.5
8,Pattyport Hornets,1,4,1,18,West,4.5,21.0,1.0,19.5,4.5,9.0,15.0,21.0,3.5,18.5,0.0,9.0,15.0,22.0
9,Parkerstad Dolphins,1,4,1,18,West,7.0,19.0,13.5,22.0,10.5,16.5,11.0,19.0,12.0,17.0,6.0,14.0,9.5,22.5
10,Underwoodfurt Celtics,1,4,1,18,West,7.5,23.5,8.0,13.0,11.5,20.5,12.5,18.0,4.0,9.5,7.0,9.0,1.5,2.0
11,New Dannyfort Mavericks,1,4,1,18,West,10.0,12.5,10.0,22.5,7.0,17.5,3.0,18.0,2.0,15.0,13.5,16.5,1.0,18.0
12,South Kyle Westerners,1,4,1,18,West,3.0,11.5,11.5,12.0,1.5,5.5,9.0,19.5,4.0,23.5,6.5,16.5,4.5,16.5
13,Lake Regina Wildcats,1,4,1,18,West,3.5,6.5,6.0,21.5,5.5,11.5,4.0,11.0,8.5,8.5,2.5,12.0,7.5,9.5
14,New Julie Bears,1,4,1,18,West,1.0,7.5,9.0,22.5,19.0,23.5,1.5,16.5,4.5,15.5,2.0,10.0,17.0,21.0
15,West Brittneystad Chiefs,1,4,1,18,West,10.0,14.5,22.0,23.5,1.0,13.5,4.0,20.5,9.0,18.5,0.5,16.0,0.0,23.0
16,North Donaldport Americans,1,4,1,18,West,12.5,15.0,15.0,22.0,10.0,20.5,8.0,20.5,9.5,10.0,11.5,23.5,0.0,22.5
17,Christinaton Robbers,1,4,1,18,West,14.0,19.5,10.0,12.5,7.0,9.0,5.0,18.0,10.5,12.0,7.0,16.0,2.5,23.5
18,Lake Natalie Wildcats,1,4,1,18,West,16.5,20.5,13.0,17.0,4.5,4.5,6.0,23.5,3.5,4.0,7.5,19.5,14.0,21.5
19,Hillborough Mavericks,1,4,1,18,West,3.0,23.0,13.0,15.5,5.5,14.0,7.5,10.5,5.0,9.5,12.0,20.5,3.0,21.0
20,Port Gordontown Mavericks,1,4,1,18,West,7.0,10.0,3.5,12.0,6.0,22.0,7.0,10.5,11.0,22.0,6.5,15.5,0.5,18.5
21,Savagechester Grizzlies,1,4,1,18,West,8.5,22.0,11.5,15.0,4.5,11.5,6.5,19.0,1.0,16.0,15.5,18.0,17.0,18.0
22,Lake Melissaborough Sabres,1,4,1,18,West,19.0,22.5,8.5,12.0,2.0,15.5,10.5,22.5,0.5,12.0,7.0,11.5,12.5,13.5
23,Tinashire Vikings,1,4,1,18,West,1.0,17.5,0.5,3.0,11.0,21.5,9.5,17.0,8.5,17.0,4.5,16.0,2.0,17.5
24,East Kimberlyshire Westerners,1,4,1,18,West,5.5,19.0,1.0,22.0,1.5,12.5,7.0,15.0,1.5,4.0,0.0,12.5,6.5,17.0
25,New Douglas Wildcats,2,4,1,18,West,0.0,11.0,8.0,9.0,1.0,23.5,14.5,20.0,7.5,22.5,3.0,7.5,19.5,21.0
26,Vargasside Sabres,2,4,1,18,West,5.0,16.5,15.5,22.5,9.5,16.5,5.0,23.0,7.0,20.5,9.5,11.5,6.0,6.5
27,Bryantmouth Sabres,2,4,1,18,West,1.0,16.0,12.0,22.0,12.0,14.5,12.0,23.5,1.5,15.0,5.5,9.5,2.0,14.5
28,Port Laura Raptors,2,4,1,18,West,9.0,21.0,16.0,23.0,2.0,17.5,4.0,6.5,10.5,13.5,13.0,23.5,0.5,1.0
29,New Sharon Bulls,2,4,1,18,West,6.5,12.5,4.0,22.0,18.0,23.5,4.5,20.5,2.0,9.5,5.0,13.0,0.5,19.0
30,Port Connieland Wildcats,2,4,1,18,West,21.0,21.5,10.5,16.5,8.0,21.5,17.0,19.5,10.0,14.5,12.0,15.0,4.5,12.5
31,Lake Katelynmouth Wildcats,2,4,1,18,West,9.0,17.0,1.5,11.5,4.5,23.0,1.0,19.5,11.0,20.0,6.5,19.5,6.5,23.0
32,East Jennaview Jacks,2,4,1,18,West,7.0,9.0,7.5,17.5,3.5,21.5,4.5,8.5,0.0,13.5,10.5,11.5,7.5,20.5
33,West Jonathanville Sabres,2,4,1,18,West,4.5,13.5,9.5,9.5,3.5,5.5,10.0,16.5,1.5,17.0,7.0,22.5,3.0,16.5
34,Lake Taylor Jacks,2,4,1,18,West,1.0,14.0,6.5,22.0,7.5,23.0,8.5,20.5,13.5,23.5,11.5,23.5,2.0,17.5
35,Jacobchester Hornets,2,4,1,18,West,4.0,16.5,13.0,17.5,3.5,14.0,1.5,2.5,12.0,20.0,10.0,23.5,5.0,7.5
36,Port Terriville Bears,2,4,1,18,West,11.5,17.0,2.5,20.5,16.0,21.5,2.5,11.0,1.0,11.5,2.5,20.0,1.5,20.5
37,Port Jamesstad Pirates,2,4,1,18,West,2.5,17.0,3.0,7.0,1.5,13.0,11.0,16.5,13.5,20.5,12.0,13.0,4.5,19.0
38,Charlesfurt Bulls,2,4,1,18,West,9.0,20.0,0.0,14.0,5.0,20.5,9.5,12.5,5.0,10.5,7.5,15.0,18.0,18.5
39,Millerburgh Sox,2,4,1,18,West,11.5,11.5,8.0,12.5,10.5,18.0,17.0,23.0,11.0,11.0,4.0,13.0,9.5,14.5
40,West Charles Pirates,2,4,1,18,West,6.0,21.0,1.0,2.5,5.5,14.0,15.0,21.0,1.0,23.0,8.0,9.0,11.0,20.0
41,Kingberg Eagles,2,4,1,18,West,4.5,9.5,18.5,21.5,2.0,17.5,11.5,18.5,11.0,14.0,4.5,7.5,8.0,11.5
42,Singhton Celtics,2,4,1,18,West,10.0,17.0,2.5,14.5,0.5,19.0,3.5,23.0,19.0,19.5,5.5,17.5,13.5,20.5
43,South Charles Westerners,2,4,1,18,West,4.0,19.0,4.0,11.0,1.5,22.5,6.5,13.5,19.5,20.0,0.5,13.0,22.0,22.5
44,Robbinsland Sox,2,4,1,18,West,9.5,11.5,0.5,21.0,5.0,10.5,6.5,8.5,5.5,12.0,18.0,23.5,1.0,3.5
45,New Ginaborough Westerners,2,4,1,18,West,15.5,20.5,12.5,18.5,5.0,21.5,16.5,17.0,4.0,14.0,7.0,19.0,8.0,22.0
46,Audreybury Eagles,2,4,1,18,West,0.0,22.0,7.0,18.5,20.0,23.0,15.0,17.5,7.0,8.5,4.0,13.5,0.0,13.0
47,New Jerryberg Eagles,2,4,1,18,West,12.0,17.5,1.0,2.0,19.0,20.0,20.5,21.5,9.0,11.5,0.5,15.5,2.0,21.0
48,North Rita Jacks,2,4,1,18,West,8.0,8.5,12.5,21.0,14.5,20.0,0.5,2.0,7.0,13.5,5.5,13.0,3.0,22.5
49,Michaelberg Mavericks,2,4,1,18,West,17.5,21.0,4.5,22.5,7.0,14.5,9.5,12.0,5.5,15.0,9.5,20.5,7.5,8.0
50,East Michael Americans,2,4,1,18,West,6.0,23.5,15.5,18.5,5.0,17.0,2.5,9.5,8.0,16.5,1.0,7.0,7.0,17.0
51,Crystalshire Rappers,2,4,1,18,West,2.0,11.0,10.0,23.5,1.5,12.0,0.0,1.0,6.5,16.5,6.0,14.0,9.0,14.5
52,New Meghanborough Celtics,2,4,1,18,West,2.5,13.5,2.5,19.5,6.0,17.0,17.5,18.5,2.0,19.5,17.5,20.5,10.0,11.0
